player,year,draft_pick,height,wingspan,vertical,weight,agility,sprint
Kris Dunn,2016,5.0,76.25,81.5,35.13666666666666,78.89874031007751,11.33024774774775,3.299663677130045
Georges Niang,2016,50.0,80.5,82.0,31.0,231.0,11.64,3.49
Ben Bentil,2016,51.0,80.25,85.5,33.0,229.0,11.16,3.3
Joel Bolomboy,2016,52.0,81.0,85.75,40.5,224.0,10.26,3.17
Kay Felder,2016,54.0,69.5,74.5,44.0,177.0,11.52,3.15
Marcus Paige,2016,55.0,73.75,78.25,39.5,164.0,10.82,3.15
Daniel Hamilton,2016,56.0,80.0,81.0,29.0,197.0,11.48,3.4
Isaiah Cousins,2016,59.0,76.5,78.25,37.0,194.0,10.79,3.24
Jaron Blossomgame,2016,59.0,79.25,82.0,41.0,214.0,11.53,3.2
Buddy Hield,2016,6.0,77.0,81.25,35.13666666666666,212.0,11.33024774774775,3.299663677130045
Marquese Chriss,2016,8.0,82.0,84.25,38.5,233.0,11.93,3.26
Jakob Poeltl,2016,9.0,85.0,86.75,35.13666666666666,239.0,11.33024774774775,3.299663677130045
Zach Collins,2017,10.0,84.0,85.0,35.13666666666666,232.0,11.33024774774775,3.299663677130045
Luke Kennard,2017,12.0,77.5,77.25,35.13666666666666,196.0,11.33024774774775,3.299663677130045
Donovan Mitchell,2017,13.0,75.0,82.0,40.5,211.0,11.53,3.01
Bam Adebayo,2017,14.0,81.75,86.75,38.5,243.0,11.94,3.24
Justin Patton,2017,16.0,83.25,87.0,30.5,229.0,11.8,3.46
D.J. Wilson,2017,17.0,82.5,87.0,35.13666666666666,234.0,11.33024774774775,3.299663677130045
T.J. Leaf,2017,18.0,81.75,83.0,34.5,222.0,11.55,3.27
John Collins,2017,19.0,81.5,83.25,37.5,225.0,11.66,3.27
Harry Giles,2017,20.0,82.5,87.25,32.5,232.0,11.08,3.34
Terrance Ferguson,2017,21.0,79.0,80.75,38.0,184.0,11.16,3.32
Jarrett Allen,2017,22.0,82.25,89.25,35.5,234.0,11.82,3.21
OG Anunoby,2017,23.0,79.75,86.25,35.13666666666666,232.0,11.33024774774775,3.299663677130045
Tyler Lydon,2017,24.0,81.5,84.0,33.5,215.0,11.68,3.46
Kyle Kuzma,2017,27.0,81.5,84.25,34.0,223.0,10.72,3.25
Tony Bradley,2017,28.0,82.75,89.0,27.5,249.0,11.79,3.44
Derrick White,2017,29.0,76.5,79.5,36.5,190.0,10.84,3.08
Frank Jackson,2017,31.0,75.5,79.5,42.0,202.0,10.94,3.14
Davon Reed,2017,32.0,77.5,84.0,36.0,206.0,11.37,3.34
Wesley Iwundu,2017,33.0,78.75,85.0,36.0,193.0,11.25,3.36
Frank Mason,2017,34.0,72.0,75.25,41.0,189.0,11.41,3.18
Ivan Rabb,2017,35.0,82.0,85.5,32.5,220.0,12.68,3.35
Semi Ojeleye,2017,37.0,78.75,81.75,40.5,241.0,10.58,3.16
Jordan Bell,2017,38.0,80.5,83.75,38.0,224.0,10.63,3.21
Jawun Evans,2017,39.0,71.5,77.5,33.5,185.0,11.34,3.21
Dwayne Bacon,2017,40.0,78.25,82.0,36.5,222.0,11.7,3.22
Tyler Dorsey,2017,41.0,76.5,77.25,36.0,183.0,10.55,3.16
Thomas Bryant,2017,42.0,82.75,90.0,33.0,248.0,11.42,3.37
Damyean Dotson,2017,44.0,77.5,81.0,38.0,205.0,11.18,3.13
Dillon Brooks,2017,45.0,78.0,78.0,37.5,220.0,11.14,3.21
Ike Anigbogu,2017,47.0,81.75,90.25,32.5,252.0,12.52,3.44
Sindarius Thornwell,2017,48.0,76.75,82.0,30.5,212.0,11.48,3.36
De'Aaron Fox,2017,5.0,75.25,78.5,35.13666666666666,170.0,11.33024774774775,3.299663677130045
Monte Morris,2017,51.0,74.5,76.0,33.5,175.0,11.0,3.19
Edmond Sumner,2017,52.0,77.75,81.0,35.13666666666666,176.0,11.33024774774775,3.299663677130045
Kadeem Allen,2017,53.0,74.25,81.25,35.5,192.0,11.24,3.15
Alec Peters,2017,54.0,80.75,82.75,35.13666666666666,232.0,11.33024774774775,3.299663677130045
Nigel Williams-Goss,2017,55.0,75.0,79.25,34.5,190.0,10.42,3.19
