player,year,draft_pick,height,wingspan,vertical,weight,agility,sprint
Willie Warren,2010,54.0,75.75,78.0,31.5,208.0,11.21,3.5
Derrick Caracter,2010,58.0,81.5,84.25,30.5,280.0,12.78,3.61
Stanley Robinson,2010,59.0,79.75,84.0,37.5,213.0,11.65,3.23
Ekpe Udoh,2010,6.0,81.75,88.5,33.5,237.0,11.15,3.29
Greg Monroe,2010,7.0,83.0,86.25,29.0,247.0,12.1,3.35
Al-Farouq Aminu,2010,8.0,80.5,87.25,33.5,216.0,11.29,3.3
Gordon Hayward,2010,9.0,80.0,79.75,34.5,211.0,11.73,3.22
Jimmer Fredette,2011,10.0,74.5,76.5,33.0,196.0,10.42,3.21
Klay Thompson,2011,11.0,79.25,81.0,31.5,206.0,10.99,3.24
Alec Burks,2011,12.0,78.0,82.0,36.0,193.0,10.96,3.17
Markieff Morris,2011,13.0,81.25,82.75,31.5,241.0,11.33024774774775,3.4
Marcus Morris,2011,14.0,80.75,82.0,33.0,230.0,11.33024774774775,3.15
Kawhi Leonard,2011,15.0,79.0,87.0,32.0,227.0,11.45,3.15
Nikola Vucevic,2011,16.0,83.75,88.5,25.0,260.0,12.02,3.27
Iman Shumpert,2011,17.0,77.5,81.5,42.0,222.0,11.1,3.18
Chris Singleton,2011,18.0,81.0,85.0,37.5,230.0,11.33,3.09
Tobias Harris,2011,19.0,79.75,83.0,37.5,223.0,10.96,3.17
Derrick Williams,2011,2.0,80.75,85.5,34.5,248.0,11.03,3.23
Nolan Smith,2011,21.0,75.5,77.5,34.0,188.0,11.05,3.17
Kenneth Faried,2011,22.0,79.5,84.0,35.0,225.0,11.35,3.26
Marshon Brooks,2011,25.0,77.25,85.0,38.5,195.0,10.74,3.09
Jordan Hamilton,2011,26.0,80.5,81.5,32.0,228.0,11.47,3.3
JaJuan Johnson (Purdue),2011,27.0,82.0,86.0,38.0,220.0,11.21,3.14
Norris Cole,2011,28.0,73.75,74.25,38.5,174.0,10.07,3.22
Cory Joseph,2011,29.0,75.25,77.5,35.0,186.0,10.75,3.27
Enes Kanter,2011,3.0,83.25,85.5,32.5,259.0,11.3,3.26
Jimmy Butler,2011,30.0,79.75,79.5,39.0,222.0,11.92,3.15
Justin Harper,2011,32.0,80.75,83.75,33.0,228.0,11.92,3.3
Kyle Singler,2011,33.0,80.5,82.1,30.0,228.0,11.22,3.21
Shelvin Mack,2011,34.0,74.5,79.5,39.0,209.0,11.23,3.18
Tyler Honeycutt,2011,35.0,80.25,81.0,37.0,187.0,11.68,3.07
Jordan Williams,2011,36.0,81.0,84.25,30.5,247.0,12.74,3.45
Trey Thompkins,2011,37.0,81.75,85.0,30.5,239.0,11.72,3.41
Chandler Parsons,2011,38.0,81.75,81.5,31.5,221.0,11.05,3.29
Jeremy Tyler,2011,39.0,82.5,89.0,33.5,262.0,11.26,3.29
Tristan Thompson,2011,4.0,80.75,85.25,35.0,227.0,10.92,3.26
Jon Leuer,2011,40.0,83.5,84.0,36.5,223.0,10.82,3.36
Darius Morris,2011,41.0,77.25,79.5,32.0,190.0,11.0,3.2
Malcolm Lee,2011,43.0,77.5,81.75,35.5,198.0,11.2,3.09
Charles Jenkins,2011,44.0,75.25,79.5,34.0,216.0,11.68,3.18
Andrew Goudelock,2011,46.0,74.75,76.25,37.0,198.0,10.33,3.1
Travis Leslie,2011,47.0,76.25,82.5,40.5,205.0,11.0,3.13
Keith Benson,2011,48.0,83.0,87.75,36.0,217.0,11.88,3.35
Josh Selby,2011,49.0,75.0,77.25,42.0,195.0,11.13,3.2
Jon Diebler,2011,51.0,78.5,78.0,35.0,197.0,10.94,3.37
DeAndre Liggins,2011,53.0,78.25,83.0,31.0,202.0,11.33024774774775,3.33
