player,pos,age,tm,g,mp,fg,fg%,3p,3p%,2p,2p%,efg%,ft,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,division
Goga Bitadze,C,23,TOT,22,9.6,1.3,0.527,0.2,0.333,1.1,0.6,0.573,0.5,0.48,1.2,1.3,2.5,0.9,0.4,0.5,0.5,1.6,3.4,atlantico
Goga Bitadze,C,23,IND,21,9.6,1.3,0.519,0.2,0.286,1.1,0.605,0.558,0.5,0.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3,central
Goga Bitadze,C,23,ORL,1,9.0,2.0,0.667,1.0,1.0,1.0,0.5,0.833,1.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,sudeste
Bismack Biyombo,C,30,PHO,46,14.0,1.7,0.572,0.0,0.3302053872053872,1.7,0.572,0.572,0.3,0.314,1.1,3.0,4.1,0.9,0.3,1.3,0.9,1.8,3.8,pacifico
Bogdan BogdanoviÄ‡,SG,30,ATL,36,29.6,5.4,0.437,2.8,0.394,2.6,0.495,0.55,1.1,0.78,0.4,3.0,3.4,3.0,0.9,0.3,1.3,1.7,14.6,sudeste
Bojan BogdanoviÄ‡,PF,33,DET,58,31.9,7.2,0.487,2.4,0.402,4.9,0.542,0.566,4.6,0.883,0.6,3.2,3.7,2.6,0.6,0.1,2.3,1.9,21.4,central
Bol Bol,PF,23,ORL,57,22.9,4.2,0.577,0.5,0.322,3.7,0.645,0.611,1.2,0.745,1.1,4.9,6.1,0.8,0.4,1.3,1.7,1.3,10.0,sudeste
Leandro Bolmaro,SG,22,UTA,14,4.9,0.2,0.15,0.0,0.0,0.2,0.188,0.15,0.0,0.7460646853146854,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,noroeste
Devin Booker,SG,26,PHO,35,34.1,9.5,0.473,2.1,0.347,7.4,0.529,0.526,5.3,0.841,0.8,3.8,4.6,5.7,0.8,0.3,2.5,2.8,26.5,pacifico
Brandon Boston Jr.,SG,21,LAC,21,11.8,2.4,0.421,0.6,0.414,1.9,0.424,0.471,1.4,0.763,0.3,1.0,1.4,0.9,0.4,0.0,0.6,1.0,6.8,pacifico
Chris Boucher,PF,30,TOR,56,20.8,3.5,0.489,0.8,0.315,2.7,0.585,0.545,1.9,0.739,2.2,3.7,5.9,0.4,0.7,0.9,0.5,2.0,9.7,atlantico
James Bouknight,SG,22,CHO,26,13.6,1.5,0.328,0.6,0.25,0.9,0.414,0.393,0.6,0.682,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.1,4.3,sudeste
Jamaree Bouyea,PG,23,MIA,4,16.3,1.5,0.462,0.5,0.4,1.0,0.5,0.538,0.3,0.5,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8,sudeste
Tony Bradley,C,25,CHI,12,2.8,0.5,0.5,0.3,0.6,0.3,0.429,0.625,0.3,1.0,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,central
Malaki Branham,SF,19,SAS,47,22.4,3.7,0.446,1.2,0.314,2.6,0.55,0.515,0.8,0.792,0.4,1.8,2.2,2.0,0.5,0.1,1.1,1.7,9.5,sudoeste
Christian Braun,SG,21,DEN,57,15.2,1.8,0.5,0.4,0.391,1.3,0.551,0.563,0.4,0.585,0.7,1.7,2.4,0.8,0.5,0.2,0.5,1.2,4.4,noroeste
Mikal Bridges,SF,26,TOT,61,36.1,6.4,0.468,1.9,0.395,4.6,0.505,0.535,2.9,0.899,1.0,3.4,4.5,3.5,1.2,0.8,1.4,2.0,17.7,atlantico
Mikal Bridges,SF,26,PHO,56,36.4,6.3,0.463,1.8,0.387,4.5,0.503,0.529,2.8,0.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2,pacifico
Mikal Bridges,SF,26,BRK,5,32.6,7.8,0.513,2.4,0.48,5.4,0.529,0.592,4.4,0.917,1.4,4.6,6.0,2.8,1.2,1.0,1.8,2.0,22.4,atlantico
Oshae Brissett,SF,24,IND,49,16.0,1.7,0.388,0.8,0.333,0.9,0.451,0.477,1.2,0.693,0.9,2.5,3.4,0.5,0.6,0.2,0.4,1.3,5.5,central
Malcolm Brogdon,PG,30,BOS,53,25.5,5.2,0.49,2.1,0.464,3.2,0.509,0.587,2.4,0.887,0.6,3.5,4.2,3.7,0.6,0.3,1.6,1.6,14.8,atlantico
Dillon Brooks,SF,27,MEM,54,30.4,5.5,0.392,1.8,0.313,3.7,0.447,0.456,1.8,0.795,0.6,2.6,3.3,2.5,0.8,0.2,1.5,3.3,14.6,sudoeste
Bruce Brown,SG,26,DEN,61,28.6,4.4,0.485,1.3,0.38,3.1,0.55,0.557,1.1,0.722,0.7,3.2,3.9,3.6,1.0,0.6,1.6,2.4,11.1,noroeste
Greg Brown III,PF,21,POR,16,5.8,0.7,0.393,0.1,0.143,0.6,0.476,0.411,0.3,0.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,noroeste
Jaylen Brown,SF,26,BOS,50,35.7,9.9,0.486,2.5,0.336,7.4,0.574,0.548,4.3,0.777,1.3,5.8,7.0,3.2,1.1,0.4,3.1,2.7,26.5,atlantico
Kendall Brown,SG,19,IND,6,6.7,0.7,0.571,0.0,0.0,0.7,0.667,0.571,0.2,0.5,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,central
Moses Brown,C,23,LAC,34,8.5,1.8,0.635,0.0,0.3302053872053872,1.8,0.635,0.635,1.0,0.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6,pacifico
Sterling Brown,SG,27,LAL,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7460646853146854,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,pacifico
Troy Brown Jr.,SF,23,LAL,55,23.9,2.6,0.434,1.3,0.361,1.4,0.532,0.538,0.5,0.963,0.9,3.3,4.2,1.1,0.7,0.1,0.7,1.5,7.0,pacifico
Jalen Brunson,PG,26,NYK,59,35.2,8.4,0.479,1.8,0.401,6.5,0.507,0.531,4.9,0.834,0.6,3.0,3.6,6.2,0.9,0.3,2.0,2.3,23.6,atlantico
Thomas Bryant,C,25,TOT,47,20.2,4.4,0.64,0.5,0.431,3.9,0.679,0.674,1.9,0.739,1.6,4.9,6.4,0.6,0.3,0.6,0.7,1.8,11.1,atlantico
Thomas Bryant,C,25,LAL,41,21.4,4.8,0.654,0.5,0.44,4.3,0.697,0.691,2.0,0.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1,pacifico
Thomas Bryant,C,25,DEN,6,12.3,1.5,0.429,0.0,0.0,1.5,0.45,0.429,1.3,0.727,1.3,2.7,4.0,0.0,0.2,0.5,1.0,1.5,4.3,noroeste
Reggie Bullock,SF,31,DAL,60,30.3,2.3,0.397,1.9,0.375,0.5,0.519,0.556,0.4,0.686,0.5,3.0,3.5,1.4,0.8,0.2,0.5,2.3,6.9,sudoeste
Alec Burks,SG,31,DET,49,22.1,4.0,0.441,1.9,0.42,2.0,0.463,0.548,3.0,0.816,0.4,2.7,3.0,2.2,0.7,0.1,1.1,1.9,12.8,central
Deonte Burton,SG,29,SAC,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7460646853146854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pacifico
Jimmy Butler,SF,33,MIA,47,33.4,7.2,0.518,0.5,0.321,6.7,0.544,0.537,6.9,0.844,2.2,3.7,5.9,5.1,2.0,0.3,1.7,1.3,21.9,sudeste
John Butler,C,20,POR,9,3.3,0.1,0.2,0.0,0.0,0.1,1.0,0.2,0.0,0.7460646853146854,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.2,0.2,noroeste
Jamal Cain,SF,23,MIA,14,13.3,1.9,0.52,0.1,0.167,1.7,0.632,0.54,0.9,0.75,0.9,1.9,2.8,0.6,0.6,0.0,0.3,1.1,4.7,sudeste
Kentavious Caldwell-Pope,SG,29,DEN,59,31.5,4.1,0.48,1.9,0.452,2.1,0.508,0.594,1.4,0.842,0.5,2.4,2.9,2.3,1.4,0.5,1.2,2.1,11.4,noroeste
Facundo Campazzo,PG,31,DAL,8,6.5,0.4,0.231,0.4,0.273,0.0,0.0,0.346,0.1,0.5,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3,sudoeste
Vlatko ÄŒanÄar,PF,25,DEN,47,16.3,2.1,0.497,0.9,0.412,1.3,0.578,0.598,0.6,0.935,0.5,1.9,2.3,1.5,0.4,0.3,0.7,1.6,5.7,noroeste
Clint Capela,C,28,ATL,45,26.6,5.4,0.624,0.0,0.0,5.4,0.626,0.624,1.1,0.593,4.2,7.0,11.2,0.8,0.7,1.2,0.8,2.2,12.0,sudeste
Vernon Carey Jr.,C,21,WAS,11,2.5,0.2,0.25,0.0,0.3302053872053872,0.2,0.25,0.25,0.2,1.0,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5,sudeste
Jevon Carter,PG,27,MIL,60,22.7,2.8,0.422,1.6,0.403,1.3,0.449,0.539,0.4,0.781,0.4,2.2,2.7,2.5,1.0,0.4,1.1,2.0,7.6,central
Wendell Carter Jr.,C,23,ORL,42,29.7,5.5,0.517,1.2,0.34,4.3,0.605,0.573,2.8,0.739,2.2,6.6,8.7,2.5,0.4,0.6,2.2,3.0,15.0,sudeste
Alex Caruso,PG,28,CHI,51,24.2,1.9,0.442,0.8,0.375,1.1,0.514,0.539,0.9,0.793,0.6,2.5,3.1,3.2,1.6,0.6,1.3,2.5,5.5,central
Julian Champagnie,SF,21,PHI,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7460646853146854,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,atlantico
Justin Champagnie,SF,21,TOR,3,3.7,1.0,1.0,0.0,0.3302053872053872,1.0,1.0,1.0,0.0,0.7460646853146854,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,2.0,atlantico
Kennedy Chandler,PG,20,MEM,25,9.0,1.1,0.397,0.1,0.143,1.0,0.463,0.412,0.2,0.455,0.3,1.0,1.2,1.9,0.4,0.2,0.6,0.5,2.4,sudoeste
Max Christie,SG,19,LAL,35,14.2,1.2,0.417,0.7,0.419,0.5,0.415,0.544,0.4,0.875,0.2,1.9,2.1,0.5,0.2,0.2,0.4,0.9,3.6,pacifico
Josh Christopher,SG,21,HOU,42,10.4,1.9,0.46,0.3,0.245,1.6,0.543,0.494,0.6,0.73,0.3,0.8,1.1,0.9,0.4,0.2,0.9,0.8,4.8,sudoeste
Brandon Clarke,PF,26,MEM,53,19.9,4.2,0.661,0.0,0.167,4.2,0.67,0.662,1.8,0.722,1.6,4.0,5.6,1.3,0.6,0.7,1.0,2.4,10.3,sudoeste
Jordan Clarkson,SG,30,UTA,60,32.6,7.5,0.445,2.6,0.341,5.0,0.528,0.521,3.2,0.819,1.2,2.9,4.0,4.3,0.5,0.2,3.1,2.0,20.9,noroeste
Nic Claxton,C,23,BRK,56,29.4,5.5,0.715,0.0,0.0,5.5,0.718,0.715,1.7,0.511,2.5,6.5,9.0,1.7,0.8,2.6,1.3,2.8,12.6,atlantico
Amir Coffey,SG,25,LAC,41,13.9,1.3,0.39,0.2,0.27,1.0,0.434,0.426,1.1,0.818,0.4,0.9,1.2,1.2,0.2,0.1,0.4,1.2,3.9,pacifico
John Collins,PF,25,ATL,51,31.0,5.2,0.508,0.8,0.256,4.4,0.624,0.548,2.0,0.813,1.1,5.9,7.0,1.2,0.7,1.2,1.2,3.2,13.2,sudeste
Zach Collins,C,25,SAS,50,21.4,4.0,0.532,0.6,0.36,3.3,0.586,0.575,1.6,0.745,1.8,4.2,6.0,2.6,0.5,0.6,1.9,3.2,10.2,sudoeste
Mike Conley,PG,35,TOT,48,29.8,3.5,0.406,1.8,0.361,1.7,0.466,0.51,1.7,0.812,0.4,2.0,2.5,7.5,1.0,0.2,1.7,2.1,10.5,atlantico
Mike Conley,PG,35,UTA,43,29.7,3.6,0.408,1.8,0.362,1.8,0.469,0.511,1.8,0.813,0.4,2.1,2.5,7.7,1.0,0.2,1.7,2.2,10.7,noroeste
Mike Conley,PG,35,MIN,5,31.2,3.2,0.39,1.8,0.36,1.4,0.438,0.5,0.8,0.8,0.6,1.6,2.2,5.6,1.2,0.2,1.4,1.8,9.0,noroeste
Pat Connaughton,SG,30,MIL,42,25.1,3.0,0.39,2.0,0.348,0.9,0.527,0.524,0.4,0.607,0.8,4.2,5.0,1.3,0.7,0.1,0.6,1.1,8.3,central
Robert Covington,PF,32,LAC,36,16.2,1.9,0.406,1.0,0.333,0.9,0.523,0.509,0.7,0.735,0.7,3.0,3.7,1.3,0.7,0.8,0.6,1.9,5.5,pacifico
Torrey Craig,SF,32,PHO,59,25.8,3.0,0.452,1.3,0.405,1.7,0.497,0.551,0.5,0.73,2.1,3.7,5.8,1.6,0.7,0.6,1.0,2.4,7.7,pacifico
Jae Crowder,SF,32,MIL,2,20.5,2.5,0.625,2.0,0.8,0.5,0.333,0.875,1.0,0.5,0.5,2.5,3.0,1.0,1.0,0.0,1.0,2.5,8.0,central
Jarrett Culver,SG,23,ATL,10,13.7,1.7,0.395,0.1,0.083,1.6,0.516,0.407,0.9,0.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,sudeste
Cade Cunningham,PG,21,DET,12,33.3,7.8,0.415,1.4,0.279,6.3,0.466,0.453,3.0,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,central
Seth Curry,SG,32,BRK,42,22.4,3.9,0.468,1.8,0.423,2.0,0.518,0.579,0.8,0.971,0.3,1.6,1.9,2.0,0.6,0.2,1.0,1.8,10.4,atlantico
Stephen Curry,PG,34,GSW,38,34.6,9.8,0.495,4.9,0.427,4.9,0.588,0.619,5.0,0.922,0.6,5.8,6.3,6.4,1.0,0.4,3.2,2.2,29.4,pacifico
Dyson Daniels,PG,19,NOP,40,19.6,1.7,0.445,0.5,0.333,1.2,0.516,0.51,0.5,0.621,0.7,2.8,3.5,2.5,0.9,0.3,1.1,1.9,4.4,sudoeste
Anthony Davis,C,29,LAL,37,33.2,9.7,0.564,0.4,0.241,9.4,0.593,0.574,6.0,0.813,3.3,9.1,12.4,2.5,1.1,2.0,2.1,2.7,25.7,pacifico
Johnny Davis,SG,20,WAS,13,4.8,0.5,0.333,0.1,0.25,0.4,0.357,0.361,0.2,1.0,0.1,0.5,0.6,0.2,0.1,0.1,0.2,1.0,1.2,sudeste
Terence Davis,SG,25,SAC,47,13.9,2.6,0.446,1.4,0.382,1.2,0.561,0.569,0.7,0.886,0.4,2.0,2.4,1.3,0.8,0.3,0.9,1.9,7.3,pacifico
JD Davison,PG,20,BOS,6,2.3,0.3,0.25,0.0,0.0,0.3,0.4,0.25,0.0,0.7460646853146854,0.0,0.3,0.3,0.2,0.2,0.0,0.2,0.0,0.7,atlantico
Darius Days,PF,23,HOU,4,6.3,1.3,0.417,0.8,0.3,0.5,1.0,0.542,0.5,1.0,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8,sudoeste
Dewayne Dedmon,C,33,MIA,30,11.7,2.1,0.496,0.4,0.297,1.8,0.576,0.539,1.1,0.727,0.9,2.7,3.6,0.5,0.2,0.5,0.6,2.0,5.7,sudeste
Matthew Dellavedova,PG,32,SAC,25,5.9,0.5,0.364,0.2,0.375,0.2,0.353,0.455,0.1,0.6,0.0,0.3,0.4,1.3,0.2,0.0,0.3,0.6,1.3,pacifico
DeMar DeRozan,SF,33,CHI,55,36.1,9.1,0.51,0.5,0.307,8.7,0.529,0.523,6.5,0.881,0.4,4.2,4.6,5.1,1.0,0.5,2.2,2.7,25.3,central
Moussa DiabatÃ©,PF,21,LAC,18,9.6,1.2,0.525,0.1,0.5,1.1,0.526,0.538,0.6,0.625,1.6,0.9,2.5,0.2,0.3,0.3,0.5,0.7,2.9,pacifico
Mamadi Diakite,PF,26,CLE,16,6.1,0.7,0.423,0.3,0.267,0.4,0.636,0.5,0.0,0.7460646853146854,0.2,0.6,0.8,0.1,0.1,0.4,0.4,0.8,1.6,central
Hamidou Diallo,SG,24,DET,53,17.2,3.7,0.581,0.1,0.263,3.6,0.6,0.588,1.5,0.591,1.0,2.4,3.4,0.9,1.0,0.3,1.2,2.2,9.1,central
Gorgui Dieng,C,33,SAS,21,9.6,1.1,0.387,0.6,0.279,0.6,0.632,0.484,0.2,0.833,0.9,1.8,2.6,1.4,0.1,0.3,0.8,1.4,3.1,sudoeste
Ousmane Dieng,SF,19,OKC,19,14.9,1.7,0.416,0.7,0.289,1.0,0.594,0.5,0.1,0.4,0.4,2.2,2.6,1.4,0.3,0.3,0.6,1.2,4.2,noroeste
Spencer Dinwiddie,PG,29,TOT,59,34.1,5.8,0.448,2.5,0.394,3.3,0.5,0.544,3.3,0.828,0.3,2.8,3.2,5.3,0.8,0.3,1.7,2.4,17.5,atlantico
Spencer Dinwiddie,PG,29,DAL,53,34.1,6.0,0.455,2.6,0.405,3.4,0.504,0.555,3.2,0.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7,sudoeste
Spencer Dinwiddie,PG,29,BRK,6,34.0,4.7,0.378,1.7,0.286,3.0,0.462,0.446,4.5,0.871,0.2,3.7,3.8,5.7,1.0,0.0,2.0,2.5,15.5,atlantico
Donte DiVincenzo,SG,26,GSW,51,25.6,3.2,0.436,2.1,0.416,1.1,0.482,0.582,0.7,0.818,0.9,3.3,4.2,3.3,1.4,0.1,1.5,1.8,9.2,pacifico
Luka DonÄiÄ‡,PG,23,DAL,52,36.4,11.2,0.504,2.7,0.35,8.4,0.589,0.566,8.0,0.732,0.9,7.9,8.8,8.1,1.5,0.5,3.7,2.6,33.1,sudoeste
Tyler Dorsey,SG,26,DAL,3,2.7,1.3,0.8,0.3,0.5,1.0,1.0,0.9,0.0,0.7460646853146854,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0,sudoeste
Luguentz Dort,SG,23,OKC,53,30.2,4.8,0.406,1.9,0.349,2.9,0.453,0.485,2.6,0.76,1.5,2.9,4.4,2.2,1.0,0.3,1.3,3.2,14.1,noroeste
Ayo Dosunmu,SG,23,CHI,59,28.3,3.8,0.494,0.8,0.318,3.0,0.583,0.547,0.9,0.806,0.7,2.4,3.1,2.8,0.7,0.3,1.4,2.5,9.3,central
Devon Dotson,PG,23,WAS,6,8.8,0.2,0.1,0.2,0.25,0.0,0.0,0.15,0.0,0.7460646853146854,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,sudeste
Jeff Dowtin,PG,25,TOR,18,8.8,1.1,0.442,0.2,0.273,0.9,0.5,0.477,0.2,0.75,0.3,0.6,0.9,0.9,0.2,0.1,0.3,0.6,2.4,atlantico
PJ Dozier,SG,26,SAC,4,2.5,0.5,0.667,0.3,0.5,0.3,1.0,0.833,0.0,0.7460646853146854,0.0,0.5,0.5,0.0,0.8,0.0,0.0,0.0,1.3,pacifico
Goran DragiÄ‡,PG,36,CHI,51,15.4,2.5,0.425,0.9,0.352,1.6,0.48,0.5,0.5,0.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4,central
Andre Drummond,C,29,CHI,48,13.0,2.7,0.624,0.0,0.0,2.7,0.63,0.624,1.0,0.522,2.2,4.5,6.7,0.6,0.7,0.3,1.1,1.9,6.5,central
Chris Duarte,SF,25,IND,38,19.1,2.6,0.364,1.1,0.301,1.5,0.434,0.443,1.5,0.836,0.4,2.1,2.4,1.4,0.5,0.2,0.9,1.5,7.8,central
David Duke Jr.,SG,23,BRK,16,8.8,1.3,0.438,0.0,0.0,1.3,0.5,0.438,0.3,0.5,0.4,0.6,0.9,0.8,0.4,0.1,0.8,1.6,2.9,atlantico
Kris Dunn,PG,28,UTA,2,20.0,6.0,0.522,1.0,0.286,5.0,0.625,0.565,0.0,0.0,1.5,2.5,4.0,4.5,1.5,0.5,0.5,3.0,13.0,noroeste
Kevin Durant,PF,34,BRK,39,36.0,10.5,0.559,1.8,0.376,8.7,0.622,0.607,6.8,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,atlantico
Jalen Duren,C,19,DET,52,25.1,3.6,0.645,0.0,0.0,3.6,0.647,0.645,1.3,0.611,3.3,5.4,8.7,1.1,0.6,0.9,1.2,2.7,8.5,central
Tari Eason,PF,21,HOU,60,19.6,3.4,0.442,0.7,0.347,2.7,0.475,0.487,1.3,0.75,2.3,3.4,5.6,1.0,1.1,0.6,1.1,2.2,8.7,sudoeste
Anthony Edwards,SG,21,MIN,63,36.3,9.0,0.46,2.7,0.363,6.3,0.518,0.528,4.2,0.776,0.6,5.3,5.9,4.5,1.7,0.7,3.4,2.5,24.7,noroeste
Kessler Edwards,SF,22,TOT,16,5.8,0.4,0.214,0.1,0.143,0.3,0.286,0.25,0.1,0.5,0.4,0.6,1.0,0.3,0.2,0.1,0.3,0.2,0.9,atlantico
Kessler Edwards,SF,22,BRK,14,5.6,0.4,0.25,0.1,0.167,0.3,0.333,0.292,0.1,0.5,0.4,0.6,1.0,0.1,0.2,0.1,0.3,0.2,1.1,atlantico
Kessler Edwards,SF,22,SAC,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7460646853146854,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,pacifico
Keon Ellis,SG,23,SAC,9,4.0,0.7,0.6,0.6,0.625,0.1,0.5,0.85,0.2,0.667,0.3,0.4,0.8,0.3,0.2,0.1,0.1,0.7,2.1,pacifico
Joel Embiid,C,28,PHI,48,35.1,10.9,0.532,1.0,0.338,9.9,0.566,0.557,10.1,0.86,1.8,8.6,10.4,4.1,1.1,1.6,3.5,3.2,33.0,atlantico
Drew Eubanks,C,25,POR,58,19.6,2.5,0.681,0.1,0.429,2.4,0.689,0.688,1.0,0.659,1.7,3.3,5.0,1.2,0.5,1.2,0.8,2.2,6.0,noroeste
Bruno Fernando,C,24,TOT,33,11.2,1.5,0.521,0.0,0.0,1.5,0.526,0.521,0.9,0.682,1.5,2.3,3.8,0.9,0.2,0.9,0.7,2.1,3.9,atlantico
Bruno Fernando,C,24,HOU,31,11.7,1.5,0.516,0.0,0.0,1.5,0.522,0.516,1.0,0.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1,sudoeste
Bruno Fernando,C,24,ATL,2,3.0,1.0,0.667,0.0,0.3302053872053872,1.0,0.667,0.667,0.0,0.7460646853146854,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,2.0,sudeste
Dorian Finney-Smith,PF,29,TOT,46,31.8,3.1,0.408,1.8,0.342,1.3,0.555,0.525,0.7,0.733,1.7,3.3,5.0,1.5,0.9,0.4,0.9,2.1,8.8,atlantico
Dorian Finney-Smith,PF,29,DAL,40,32.2,3.2,0.416,1.9,0.355,1.3,0.559,0.54,0.8,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1,sudoeste
Dorian Finney-Smith,PF,29,BRK,6,29.3,2.5,0.349,1.0,0.231,1.5,0.529,0.419,0.5,0.6,1.8,4.8,6.7,1.3,0.3,0.0,1.0,2.8,6.5,atlantico
Malachi Flynn,PG,24,TOR,43,13.7,1.7,0.37,1.0,0.378,0.7,0.36,0.475,0.4,0.708,0.3,1.2,1.5,1.5,0.4,0.1,0.4,1.3,4.8,atlantico
Simone Fontecchio,SF,27,UTA,33,9.9,1.3,0.35,0.8,0.305,0.5,0.447,0.454,0.5,0.773,0.5,0.6,1.1,0.5,0.2,0.2,0.5,1.0,3.8,noroeste
Bryn Forbes,SG,29,MIN,25,10.7,1.2,0.361,0.6,0.304,0.6,0.432,0.446,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,noroeste
Trent Forrest,PG,24,ATL,18,13.3,1.3,0.48,0.0,0.0,1.3,0.5,0.48,0.1,0.667,0.3,1.3,1.6,1.7,0.3,0.1,0.6,0.9,2.8,sudeste
Evan Fournier,SG,30,NYK,23,18.0,2.3,0.351,1.4,0.324,0.9,0.408,0.46,0.8,0.857,0.2,1.8,2.0,1.5,0.6,0.1,0.8,1.9,6.8,atlantico
De'Aaron Fox,PG,25,SAC,55,34.1,9.4,0.515,1.6,0.331,7.9,0.581,0.559,4.9,0.786,0.5,3.8,4.3,6.3,1.1,0.3,2.7,2.5,25.4,pacifico
Markelle Fultz,PG,24,ORL,41,29.2,5.4,0.5,0.4,0.309,5.0,0.527,0.519,1.9,0.786,1.3,2.8,4.0,5.5,1.5,0.4,2.3,2.0,13.2,sudeste
Wenyen Gabriel,PF,25,LAL,47,15.2,2.6,0.617,0.2,0.3,2.4,0.675,0.64,0.8,0.623,1.6,2.2,3.8,0.5,0.3,0.5,0.7,2.2,6.1,pacifico
Daniel Gafford,C,24,WAS,58,18.8,3.4,0.747,0.0,0.3302053872053872,3.4,0.747,0.747,1.6,0.641,2.0,3.4,5.3,0.9,0.4,1.3,1.0,2.3,8.4,sudeste
Darius Garland,PG,23,CLE,54,35.1,7.5,0.468,2.6,0.421,5.0,0.496,0.547,4.3,0.868,0.4,2.2,2.6,7.9,1.3,0.1,2.9,2.1,21.9,central
Usman Garuba,PF,20,HOU,53,13.5,1.2,0.532,0.3,0.485,0.9,0.549,0.597,0.4,0.528,1.6,2.8,4.4,0.9,0.7,0.5,0.6,1.7,3.2,sudoeste
Luka Garza,C,24,MIN,23,9.1,2.3,0.529,0.6,0.361,1.8,0.621,0.593,1.7,0.792,1.3,1.2,2.4,0.6,0.1,0.0,0.4,1.5,6.9,noroeste
Rudy Gay,PF,36,UTA,46,14.5,1.8,0.378,0.5,0.232,1.3,0.496,0.43,0.7,0.857,0.6,2.3,2.9,0.9,0.3,0.3,0.6,1.2,4.8,noroeste
Paul George,SG,32,LAC,46,34.4,8.1,0.461,2.9,0.384,5.1,0.522,0.545,4.4,0.875,0.7,5.4,6.1,5.2,1.4,0.4,3.3,2.7,23.5,pacifico
Taj Gibson,C,37,WAS,38,10.0,1.4,0.535,0.1,0.235,1.3,0.598,0.556,0.6,0.676,0.7,1.3,2.0,0.8,0.3,0.3,0.5,1.9,3.5,sudeste
Josh Giddey,SG,20,OKC,55,30.9,7.0,0.484,0.9,0.309,6.1,0.528,0.515,1.3,0.769,2.0,5.8,7.7,5.8,0.8,0.5,3.0,2.1,16.2,noroeste
Shai Gilgeous-Alexander,PG,24,OKC,54,35.5,10.2,0.507,0.9,0.338,9.4,0.532,0.528,9.6,0.908,0.9,3.9,4.7,5.7,1.6,1.1,2.9,2.7,31.0,noroeste
Anthony Gill,PF,30,WAS,42,10.0,1.2,0.607,0.1,0.158,1.1,0.738,0.625,0.6,0.771,0.5,0.8,1.4,0.5,0.1,0.2,0.2,1.2,3.1,sudeste
Rudy Gobert,C,30,MIN,51,30.5,5.1,0.679,0.0,0.0,5.1,0.684,0.679,3.1,0.671,3.2,8.4,11.6,0.9,0.8,1.3,1.7,2.9,13.4,noroeste
Jordan Goodwin,PG,24,WAS,41,18.1,2.4,0.449,0.6,0.382,1.7,0.48,0.509,0.8,0.75,0.9,2.4,3.3,2.5,1.0,0.5,0.9,1.7,6.2,sudeste
Aaron Gordon,PF,27,DEN,50,30.2,6.5,0.583,1.0,0.382,5.5,0.645,0.628,3.0,0.623,2.4,4.5,6.8,2.9,0.8,0.8,1.6,1.9,17.1,noroeste
Eric Gordon,SG,34,TOT,51,29.6,4.3,0.434,1.8,0.35,2.5,0.523,0.524,2.3,0.821,0.3,1.8,2.1,2.9,0.6,0.4,1.7,1.0,12.6,atlantico
