state,player,yrs
California,John Gianelli,8
California,Jonathan Gibson,1
California,Drew Gooden,14
California,Gail Goodrich*,14
California,Aaron Gordon,3
California,Drew Gordon,1
California,Ron Grandison,4
California,Aaron Gray,7
California,Ed Gray,2
California,Evric Gray,1
California,Erick Green,2
California,Sean Green,3
California,Dave Greenwood,12
California,John Greig,1
California,Bob Gross,8
California,Jack Haley,9
California,Jordan Hamilton,5
California,Justin Hamilton,3
California,Roy Hamilton,2
California,James Harden,8
California,Lucious Harris,12
California,Jason Hart,9
California,Scott Haskin,1
California,Juaquin Hawkins,1
California,Chuck Hayes,11
California,J.R. Henderson,1
California,Jerome Henderson,2
California,Conner Henry,2
California,Cory Higgins,2
California,Sean Higgins,6
California,Solomon Hill,4
California,Darnell Hillman,9
California,Jrue Holiday,8
California,Justin Holiday,4
California,Ryan Hollins,10
California,Tyler Honeycutt,2
California,Eddie House,11
California,Jay Humphries,11
California,Ralph Jackson,1
California,Casey Jacobsen,4
California,Chris Jefferies,2
California,Richard Jefferson,16
California,Brandon Jennings,8
California,Chris Jent,2
California,Grant Jerrett,1
California,Eugene Jeter,1
California,Amir Johnson,12
California,Dennis Johnson*,14
California,Kevin Johnson,12
California,Orlando Johnson,3
California,Stanley Johnson,2
California,Bobby Jones,2
California,Ozell Jones,2
California,Jason Kapono,9
California,Adam Keefe,9
California,Rich Kelley,11
California,Jason Kidd,19
California,Kyle Korver,14
California,Joel Kramer,5
California,John Lambert,7
California,Trajan Langdon,3
California,Eric Leckner,8
California,Greg Lee,2
California,Malcolm Lee,3
California,Rock Lee,1
California,Kawhi Leonard,6
California,Cliff Levingston,11
California,Todd Lichti,5
California,Damian Lillard,5
California,Jeremy Lin,7
California,Rob Lock,1
California,Brook Lopez,9
California,Robin Lopez,9
California,Kevin Love,9
California,Stan Love,4
California,Don MacLean,9
California,Tito Maddox,1
California,Gerald Madkins,3
California,Mark Madsen,9
California,Dan McClintock,1
California,Jelani McCoy,8
California,Ben McDonald,4
California,Dominic McGuire,6
California,Carlton McKinney,2
California,Mark McNamara,8
California,Chris McNealy,3
California,Dave Meyers,4
California,Andre Miller,17
California,Reggie Miller*,18
California,Chris Mills,10
California,Harold Miner,4
California,Darius Morris,4
California,Richard Morton,1
California,Shabazz Muhammad,4
California,Chris Munk,1
California,Tod Murphy,5
California,Lamond Murray,11
California,Tracy Murray,12
California,DeMarcus Nelson,1
California,Louie Nelson,5
California,Bob Netolicky,9
California,Mike Niles,1
California,James Nunnally,1
California,Charles O'Bannon,2
California,Ed O'Bannon,2
California,J.J. O'Brien,1
California,Keith Owens,1
California,Ray Owes,1
California,Milt Palacio,7
California,Cherokee Parks,9
California,Andrae Patterson,2
California,Gary Payton*,17
California,Mike Penberthy,2
California,Desmond Penigar,1
California,Paul Pierce,19
California,Kevinn Pinkney,1
California,Dwayne Polee,1
California,Cliff Pondexter,3
California,Quincy Pondexter,5
California,Leon Powe,5
California,Norman Powell,2
California,Tayshaun Prince,14
California,Gabe Pruitt,2
California,Kurt Rambis,14
California,Wally Rank,1
California,Marlon Redmond,2
California,Kevin Restani,8
California,Isaiah Rider,9
California,Austin Rivers,5
California,Cliff Robinson,11
California,Jackie Robinson,3
California,Johnny Rogers,2
California,Lorenzo Romar,5
California,Paul Ruffner,5
California,Bryon Russell,13
California,Jamal Sampson,5
California,Brian Scalabrine,11
California,Brian Shaw,14
California,Lonnie Shelton,10
California,Jose Slaughter,1
California,Craig Smith,6
California,Greg Smith,5
California,Phil Smith,9
California,Reggie Smith,2
California,Robert Smith,7
California,Tony Snell,4
California,Kirk Snyder,4
California,Andre Spencer,2
California,Joe Stephens,3
California,Alex Stepheson,1
California,DeShawn Stevenson,13
California,Derek Strong,10
California,Dane Suttle,2
California,Greg Sutton,3
California,Robert Swift,4
California,Anthony Taylor,1
California,Leonard Taylor,1
California,Chuck Terry,5
California,Claude Terry,6
California,Reggie Theus,13
California,Peter Thibeaux,2
California,Dijon Thompson,2
California,Hollis Thompson,4
California,Klay Thompson,6
California,Mychel Thompson,1
California,Stephen Thompson,1
California,Bob Thornton,8
California,Tom Tolbert,7
California,Raymond Townsend,3
California,Jeff Trepagnier,3
California,Henry Turner,2
