draft_pick,player,category
28.0,Perry Jones,3.0
28.0,Greivis Vasquez,3.0
28.0,R.J. Hunter,3.0
28.0,C.J. Wilcox,3.0
29.0,Archie Goodwin,3.0
29.0,Cory Joseph,3.0
29.0,Chris McCullough,3.0
29.0,Daniel Orton,3.0
29.0,Derrick White,3.0
29.0,Toney Douglas,3.0
29.0,Marquis Teague,3.0
30.0,Kyle Anderson,3.0
30.0,Damian Jones,3.0
30.0,Josh Hart,3.0
30.0,Festus Ezeli,3.0
30.0,Kevon Looney,3.0
30.0,Lazar Hayward,3.0
30.0,Jimmy Butler,3.0
31.0,Deyonta Davis,4.0
31.0,Frank Jackson,4.0
31.0,Jeff Pendergraph,4.0
31.0,Allen Crabbe,4.0
31.0,Jeff Taylor,4.0
32.0,K.J. McDaniels,4.0
32.0,Dexter Pittman,4.0
32.0,Davon Reed,4.0
32.0,Tomas Satoransky,4.0
32.0,Montrezl Harrell,4.0
32.0,Justin Harper,4.0
32.0,Jermaine Taylor,4.0
33.0,Joe Harris,4.0
33.0,Jordan Mickey,4.0
33.0,Kyle Singler,4.0
33.0,Dante Cunningham,4.0
33.0,Cheick Diallo,4.0
33.0,Hassan Whiteside,4.0
33.0,Wesley Iwundu,4.0
33.0,Bernard James,4.0
33.0,Carrick Felix,4.0
34.0,Frank Mason,4.0
34.0,Isaiah Canaan,4.0
34.0,Jae Crowder,4.0
34.0,Armon Johnson,4.0
34.0,Anthony Brown,4.0
34.0,Cleanthony Early,4.0
34.0,Tyler Ulis,4.0
34.0,Shelvin Mack,4.0
35.0,Ivan Rabb,4.0
35.0,Tyler Honeycutt,4.0
35.0,Jarnell Stokes,4.0
35.0,Glen Rice,4.0
35.0,Draymond Green,4.0
35.0,DaJuan Summers,4.0
36.0,Orlando Johnson,4.0
36.0,Rakeem Christmas,4.0
36.0,Ray McCallum,4.0
36.0,Jordan Williams,4.0
36.0,Malcolm Brogdon,4.0
36.0,Sam Young,4.0
36.0,Terrico White,4.0
36.0,Johnny O'Bryant,4.0
37.0,DeJuan Blair,4.0
37.0,Semi Ojeleye,4.0
37.0,Tony Mitchell,4.0
37.0,Darington Hobson,4.0
37.0,Trey Thompkins,4.0
37.0,Richaun Holmes,4.0
37.0,DeAndre Daniels,4.0
37.0,Chinanu Onuaku,4.0
37.0,Quincy Acy,4.0
38.0,Andy Rautins,4.0
38.0,Nate Wolters,4.0
38.0,Patrick McCaw,4.0
38.0,Jordan Bell,4.0
38.0,Spencer Dinwiddie,4.0
38.0,Quincy Miller,4.0
38.0,Chandler Parsons,4.0
39.0,Jerami Grant,4.0
39.0,Jeremy Tyler,4.0
39.0,Khris Middleton,4.0
39.0,Jeff Withey,4.0
39.0,Jawun Evans,4.0
40.0,Glenn Robinson,4.0
40.0,Will Barton,4.0
40.0,Grant Jerrett,4.0
40.0,Lance Stephenson,4.0
40.0,Dwayne Bacon,4.0
40.0,Diamond Stone,4.0
40.0,Jon Leuer,4.0
40.0,Derrick Brown,4.0
41.0,Tyshawn Taylor,5.0
41.0,Jodie Meeks,5.0
41.0,Pat Connaughton,5.0
41.0,Jamaal Franklin,5.0
41.0,Darius Morris,5.0
41.0,Stephen Zimmerman,5.0
41.0,Tyler Dorsey,5.0
41.0,Jarvis Varnado,5.0
42.0,Thomas Bryant,5.0
42.0,Pierre Jackson,5.0
42.0,Olivier Hanlan,5.0
42.0,Doron Lamb,5.0
42.0,Isaiah Whitehead,5.0
42.0,Nick Johnson,5.0
43.0,Marcus Thornton,5.0
43.0,Malcolm Lee,5.0
43.0,Mike Scott,5.0
43.0,Devin Ebanks,5.0
43.0,Zhou Qi,5.0
43.0,Joseph Young,5.0
43.0,Ricky Ledo,5.0
44.0,Chase Budinger,5.0
44.0,Markel Brown,5.0
44.0,Andrew Harrison,5.0
44.0,Kim English,5.0
44.0,Mike Muscala,5.0
44.0,Jerome Jordan,5.0
44.0,Damyean Dotson,5.0
44.0,Charles Jenkins,5.0
45.0,Dillon Brooks,5.0
45.0,Dwight Powell,5.0
45.0,Demetrius Jackson,5.0
45.0,Marcus Thornton,5.0
46.0,Gani Lawal,5.0
46.0,Danny Green,5.0
46.0,Norman Powell,5.0
46.0,Erick Green,5.0
46.0,Andrew Goudelock,5.0
46.0,Darius Miller,5.0
46.0,Jordan Clarkson,5.0
47.0,Russ Smith,5.0
47.0,Travis Leslie,5.0
47.0,Jake Layman,5.0
47.0,Ike Anigbogu,5.0
47.0,Kevin Murphy,5.0
47.0,Tiny Gallon,5.0
48.0,Sindarius Thornwell,5.0
48.0,Keith Benson,5.0
48.0,Ryan Kelly,5.0
48.0,Lamar Patterson,5.0
48.0,Dakari Johnson,5.0
49.0,Michael Gbinije,5.0
49.0,Josh Selby,5.0
49.0,Aaron White,5.0
49.0,Cameron Bairstow,5.0
49.0,Kyle O'Quinn,5.0
49.0,Ryan Richards,5.0
49.0,Erik Murphy,5.0
50.0,James Ennis,5.0
50.0,Georges Niang,5.0
50.0,Alec Brown,5.0
50.0,Solomon Alabi,5.0
51.0,Monte Morris,6.0
51.0,Kris Joseph,6.0
51.0,Ben Bentil,6.0
51.0,Jack McClinton,6.0
51.0,Jon Diebler,6.0
51.0,Thanasis Antetokounmpo,6.0
51.0,Tyler Harvey,6.0
52.0,Luke Harangody,6.0
52.0,Edmond Sumner,6.0
52.0,Joel Bolomboy,6.0
52.0,A.J. Price,6.0
52.0,Lorenzo Brown,6.0
